Gouvernorat,Délégation,Localité,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Nabeul,Hammam El Ghezaz,Tamazrat,2500000,5000 m²,,,,titre foncier,5000.0,500.0
Nabeul,Hammam El Ghezaz,Ezzahra,90000,1000 m,,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kerkouane,1110000,1850 m²,,,,titre foncier,1850.0,600.0
Nabeul,Kelibia,Dar Allouche,960800,1201 m²,front de mer,,,titre foncier,1201.0,800.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,vue sur mer,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1750000,3500 m²,front de mer,,,titre foncier,3500.0,500.0
Nabeul,Hammamet,Hammamet,100000,8000 m²,,,,,8000.0,12.5
Nabeul,Kelibia,Kerkouane,1980000,3300 m²,front de mer,,,titre foncier,3300.0,600.0
Nabeul,Kelibia,Dar Allouche,792000,990 m²,,,,titre foncier,990.0,800.0
Nabeul,Kelibia,Dar Allouche,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,vue sur mer,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,,eau,,titre foncier,3000.0,500.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,front de mer,,,titre foncier,2100.0,600.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,1000000,50000 m²,vue sur mer,,,titre foncier,50000.0,20.0
Nabeul,Kelibia,Dar Allouche,672000,840 m²,,,,titre foncier,840.0,800.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,315000,10000 m²,,,,titre foncier,10000.0,31.5
Nabeul,Hammam El Ghezaz,Tamazrat,1000000,2000 m²,,,,titre foncier,2000.0,500.0
Nabeul,Hammamet,Zone Hoteliere,78000,312 m²,,"eau, électricité",,"papiers en règle, titre foncier",312.0,250.0
Nabeul,Kelibia,Dar Allouche,90000,1000 m²,vue sur mer,,,titre foncier,1000.0,90.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,,,,titre foncier,1150.0,800.0
Nabeul,Hammam El Ghezaz,Ezzahra,200000,5000 m²,,,,titre foncier,5000.0,40.0
Nabeul,Hammam El Ghezaz,Tamazrat,1250000,2500 m²,,,,titre foncier,2500.0,500.0
Nabeul,Kelibia,Kerkouane,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1410000,2350 m²,,,,titre foncier,2350.0,600.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,730400,913 m²,,,,titre foncier,913.0,800.0
Nabeul,Hammamet,Sidi Jedidi,480000,4000 m²,,eau,,,4000.0,120.0
Nabeul,Soliman,Bou Charray,500000,20650 m²,,,,,20650.0,24.213075060532688
Nabeul,Hammamet,Cite El Fawara,891100,2546 m²,,électricité,,titre foncier,2546.0,350.0
Nabeul,Beni Khalled,Beni Khalled,850000,20800 m²,,,,,20800.0,40.86538461538461
Nabeul,El Haouaria,El Haouaria,80000,1494 m²,,puit,,"maison, puit",1494.0,53.5475234270415
Nabeul,Menzel Bouzelfa,Menzel Bouzelfa,1300000,6 ha,,,,"maison, titre foncier",60000.0,21.666666666666668
Nabeul,Korba,Tazarka,30000,250 m²,,,,villa,250.0,120.0
Nabeul,Korba,Korba,1250000,8 ha,,,,"villa, piscine",80000.0,15.625
Nabeul,Kelibia,Kerkouane,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,vue sur mer,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,2500000,5000 m²,,,,titre foncier,5000.0,500.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,792000,990 m²,vue sur mer,,,titre foncier,990.0,800.0
Nabeul,Kelibia,Kerkouane,1980000,3300 m²,front de mer,,,titre foncier,3300.0,600.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1750000,3500 m²,,,,titre foncier,3500.0,500.0
Nabeul,Hammam El Ghezaz,Ezzahra,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Kerkouane,1260000,2100 m²,,,,titre foncier,2100.0,600.0
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,63000,1000 m²,vue sur mer,,,titre foncier,1000.0,63.0
Nabeul,Hammam El Ghezaz,Tamazrat,1500000,3000 m²,,,,titre foncier,3000.0,500.0
Nabeul,Hammam El Ghezaz,Hammam Jebli,63000,1000 m²,,,,titre foncier,1000.0,63.0
Nabeul,Kelibia,Dar Allouche,920000,1150 m²,,,,titre foncier,1150.0,800.0
Nabeul,Kelibia,Kerkouane,960000,1600 m²,,,,titre foncier,1600.0,600.0
Nabeul,Kelibia,Dar Allouche,90000,1000 m²,vue sur mer,,,titre foncier,1000.0,90.0
Nabeul,El Haouaria,El Haouaria,200000,3400 m²,,,,maison,3400.0,58.8235294117647
Nabeul,Menzel Temime,El Gobba,3750000,15 ha,,,"arbres, plantation",,150000.0,25.0
