Gouvernorat,Délégation,Localité,Texte annonce,Prix,Date
Nabeul,Hammam El Ghezaz,Tamazrat,5000  mètre carré au bord de la mer tamazratun terrain de 5000 m²  à partager pour investissement touristique écologique titre foncier  collectif a tamazrat. prix :2500 md.   pour plus dinformation appeler : 27307890,2500000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,Bonne occasion de hammam jebli au bord dela merun terrain de 1415 m²  à partager pour investissement touristique écologique titre foncier  collectif a hammam jebli . prix :1819 md.    pour plus dinformation appeler : 27307890,1819000,10/03/2025
Sousse,Hergla,Hergla,Terrain 414m zone des villas à hergla#offre #la sté akariet sarraj #agence #immobilière (#agrée) propose #a vendre #terrain (#414m²) #zone des villas (#cité privé #cloturé et équipé avec #l eau /#éléctricité) #hergla  #prix : #250dt ...,103500,15/08/2024
Nabeul,Hammam El Ghezaz,Ezzahra,"Un terrain de 980 mètre carré a ezzahraa vendre un terrain de 980 m ² titre foncier collectif de vocation agricole, 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique sur plage hammam el ...",1470000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,"Bonne affaire de terrain de 745 mètre carréon  propose un terrain de 745 m² de titre foncier collectif  avec vue imprenable sur la mer situés a hammam el ghezaz  , une destination côtière prisée.  prix :1266.5  md.  pour plus dinfor ...",1266500,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,"Terrain magique avec façade sur mer a ezzahraa partager  un terrain de 1000 m ² titre foncier collectif , 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique sur plage hammam el ghezaz . p ...",90000,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,"Un terrain magique avec façade sur  mera partager  un terrain de 1000 m ² titre foncier collectif , 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique sur plage hammam el ghezaz . p ...",90000,10/03/2025
Nabeul,Kelibia,Kerkouane,1850 mètre carré  a kerkouane  pour investirnous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage kerkouane. surface : 1850 m² prix : 1110 md   pour plus d informations contactez- ...,1110000,10/03/2025
Zaghouan,El Fahs,Bent Saidane,"Très belle ferme à bent saidaneà vendre une très belle ferme à bent saidane de 4h 7500m2, sur la route goudronnée et à 45 min de route de tunis   . située dans un superbe cadre naturel, ferme paradisiaque, dans un microclimat proch ...",860000,23/09/2024
Nabeul,Kelibia,Dar Allouche,Un  terrain de 1201  mètre carréprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : kelibia dar allouche. sup ...,960800,10/03/2025
Nabeul,Kelibia,Dar Allouche,Un terrain vue sur mer a hammam el ghezazun merveilleux terrain titre foncier avec vue sur mer à hammam el ghezaz. superficie 1000 m² pour accueillir votre futur projet touristique. prix :63 md avec facilite de paiement  contact :  ...,63000,06/08/2024
Nabeul,Kelibia,Kelibia,"Un terrain collectif de 1300 mètre carréon  propose un terrain de 1030 m² de titre foncier collectif  avec vue imprenable sur la mer situés entre hammam jebli et ezzahra kelibia  , une destination côtière prisée.  prix :2575  md.  ...",2575000,10/03/2025
Zaghouan,Bir Mcherga,Bir Mcherga,"Petite ferme avec sontage d eaua vendre, 1,5 hectares clôturé sur une route goudronnée à 47 km de tunis  elle dispose d eau potable et d électricité elle dispose d un entrepôt de 450 m2 et d une maison de 100 m2 elle dispose d ...",300000,19/09/2024
Sousse,Akouda,Chatt Meriem,Opportunité terrain agricole 3366m à fokaia#la sté akariet sarraj #agence #immobilière (#agrée) propose #a vendre #terrain agricole (#3366m²) #fokaia #disonible #l eau /#éléctricité  #prix : #80dt/m² #documents fournis : #titre  ...,269280,12/07/2024
Nabeul,El Haouaria,El Haouaria,Terrain paradisiaque de 2020 mètre carréavendre un terrain de 2020 m² titre foncier collectif  de vocation agricole avec vue sur mer a el haouaria . profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié   ...,2020000,10/03/2025
Sousse,Kalaa Essghira,Kalaa Essghira,Titre foncier individuela vendre un chan de surface indiqué +70 oliviers pas loin de route goudronnée,85000,10/03/2025
Zaghouan,Bir Mcherga,Bir Mcherga,"Ferme 6h5 avec sontage d eaua vendre : 6,5 hectares clôturés sur une route goudronnée à 46 km de tunis. il dispose d eau potable et d électricité. il dispose d une maison de 50 mètres carrés. il dispose d un sontage  d eau 3ls s ...",650000,19/09/2024
Nabeul,Menzel Temime,Lebna,"Grand terrain deuxième position de mer à lebnamagnifique terrain en deuxième position en bord de mer à lebna  si vous rêvez de posséder un petit coin de paradis en deuxième position en bord de mer, au coeur d une nature préservée, ne ch ...",1350000,04/10/2023
Nabeul,Hammam El Ghezaz,Tamazrat,3500 mètre carré a tamazrat nabeulprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz tamazrat.  <b ...,1750000,10/03/2025
Zaghouan,Bir Mcherga,Boucha,Exclusivitétres belle ferme 7hchez lagence immobiliere harabi met a vendre   une agréable ferme  dune superficie totale de 7 hectares au plaines de boucha aux confins des gouvernorats zaghouan et béja à 48km de tunis s ...,1250000,17/02/2023
Zaghouan,Bir Mcherga,Jebel El Oust,Petite ferme oliviers et amdierslagence immobiliere harabi met a vendre   une petite ferme agricole dune superficie totale de  2.6 hectares  à 32km de tunis à 150m de la route nationale gp3 contient 1200 oliviers et 1800 ...,250000,17/02/2023
Nabeul,Hammam El Ghezaz,Hammam Jebli,Un  terrain de 880 mètre carré au cap bonnous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage hammam jebli. surface : 880 m² prix : 1144 md     pour plus d informations contac ...,1144000,10/03/2025
Nabeul,Hammamet,Hammamet,Terrain a ne pas rattera vendre 8000 m2 adwikhla 8 km de hammammet sud   100 md prix fixe,100000,18/11/2024
Nabeul,Hammam El Ghezaz,Ezzahra,Bonne occasion de 560 mètre carréprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra  <br/ ...,840000,10/03/2025
Sousse,Akouda,Chatt Meriem,"Terrain foukayaa à 300 m du goudronnéed une superficie de 9000 m² terrain clôturé situé à el foukayaa comprenant  100 pieds d olives (jeunes) ,100 grenadiers(jeunes) ,100 amandiers(jeunes)  sondage et bâche à eau ( photovoltaîqu ...",850000,15/10/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Un meilleur investissement  a houarianous vous offrons une opportunité de terrain en tunisie  de titre foncier collectif au bord de la plage hammam el ghezaz. surface : 1015m² prix : 1725.5md     pour plus d informations c ...,1725500,10/03/2025
Nabeul,Kelibia,Kerkouane,Bonne affaire de 3300  mètre carréprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra  <br/ ...,1980000,10/03/2025
Nabeul,Kelibia,Dar Allouche,Terrain de 990 mètre carré  a dar allouchedes terrains avec vue imprenable sur la mer. superficie à partir de 990 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :792 md  <b ...,792000,10/03/2025
Nabeul,Kelibia,Kelibia,"Terrain de 945 mètre carré  au cap bonà vendre  un terrain pour investissement touristique écologique, titre foncier collectif de vocation agricole avec une magnifique vue de façades sur mer, disponible de suite  région : nabeul ezza ...",2362500,10/03/2025
Nabeul,Kelibia,Dar Allouche,"Offre spécial de 1000 metre caree à kelibiaon  propose a partaher un terrain de 1000 m²  de titre foncier avec vue imprenable sur la mer situés entre hammam jebli et ezzahra kelibia  , une destination côtière prisée.  prix 63 md. avec fac ...",63000,06/08/2024
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain avec vue magnifique à hammam  ghezazun merveilleux terrain titre foncier  avec vue sur mer à hammam el ghezaz. superficie 1000 m² pour accueillir votre futur projet touristique. prix :63 md avec facilite de paiement  contact : ...,63000,02/09/2024
Nabeul,El Haouaria,El Haouaria,818 mètre carré  pour investir au cap bonprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : el haouaria . superficie  ...,818000,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,"Un terrain unique a partir de 1000 ma partager un terrain de 1000 m² titre foncier , 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique  prix : 63 md avec facilite de paiement  < ...",63000,05/08/2024
Sousse,Akouda,Chatt Meriem,Terrain titré 1094m vue de mer à tantanala sté akariet sarraj #agence #immobilière (#agrée) on vous propose #terrain #titré (#1094m²)#vue de mer #tantana  prix: #250dt/m² (#négociable) #vente#terrain#agenceimmobilière#a karietsarr ...,273500,26/12/2023
Nabeul,Hammam El Ghezaz,Tamazrat,3000mètrer carré a hammem el  ghazezpour un meilleur investissement on met a votre disposition un terrain de 3000 m² titre foncier collectif de vocation agricole pied dans leau situé a tamazrat. prix : 1500 md ;    contacter  ...,1500000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,Un terrain de 907 mètre carré a hammam jebliprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam jebli. superficie  ...,1179100,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,Terrain agricole de 645 mètre carréprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra  <br/ ...,967500,10/03/2025
Nabeul,Hammam El Ghezaz,Ezzahra,Terrain de 1000 metre careeprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif  avec accès direct a une plage magnifique.  emplacement : hammam el ghezaz ezzahra  superficie : 1000 m²  <b ...,63000,05/08/2024
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain de 600 mètre carré  pour  investirdes terrains avec vue imprenable sur la mer. superficie à partir de 600 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :1020 md  < ...,1020000,10/03/2025
Nabeul,Kelibia,Kerkouane,Un terrain de 2100 mètre carré a kerkouaneprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : kerkouane. superficie : 2 ...,1260000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Occasion en or terrain de 50 000 metre careeun merveilleux terrain titre foncier  avec vue sur mer à hammam el ghezaz. superficie 50 000 m² pour accueillir votre futur projet touristique. prix :1000 md avec facilite de pauement  conta ...,1000000,03/09/2024
Nabeul,Kelibia,Dar Allouche,Pour  les investisseurs 840 mètre carrédes terrains avec vue imprenable sur la mer. superficie à partir de 840 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :672 md  <b ...,672000,10/03/2025
Nabeul,Kelibia,Dar Allouche,Pour les investisseurs 840 mètre carrédes terrains avec vue imprenable sur la mer. superficie à partir de 840 m² à hammam el ghezaz dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :672 md  <b ...,672000,10/03/2025
Nabeul,Kelibia,Kelibia,Un terrain de 694 mètre carré  a kelibiapour un meilleur investissement on met a votre disposition un terrain de 694 m² titre foncier collectif de vocation agricole pied dans leau situé a kelibia. prix : 1735 md .  contacter : 27 ...,1735000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,"Une bonne affaire terrain à nabeulun terrain a partager , titre foncier  entre hammam jebli et kerkouane  superficie : 10 000 m²  prix fixe : 315 md . avec facilite de paiement offre valable jusqu au 30/06/2025 contacte ...",315000,27/08/2024
Nabeul,El Haouaria,El Haouaria,Un terrain  de 1073  mètre carrédes terrains avec vue imprenable sur la mer. superficie à partir de 1073 m² à el haouaria dans une zone en pleine expansion. accès direct à la plage. titre foncier collectif  prix :1073 md   ...,1073000,10/03/2025
Sousse,Akouda,Chatt Meriem,"Terrain agricole foukayalimmobilière du lac hammam sousse met en vente   un terrain agricole de surface 3850m2 comprenant 44 oliviers situé dans une zone d avenir à chatt mariem foukaya, donnant aux acheteurs l opportunité  ...",404250,03/02/2024
Nabeul,Hammam El Ghezaz,Tamazrat,"Terrain paradisiaque de 2000 mètre carréa vendre un terrain de 1000 m² titre foncier collectif de vocation agricole, situé a tamazrat ce terrain possède dune façade sur mer. prix :1000 md.  contact : 27307890",1000000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam Jebli,Terrain  agricole de 1220 mètre carréun terrain de 5000 m²  à partager pour investissement touristique écologique titre foncier  collectif a hammam jebli . prix :1586 md.   pour plus dinformation appeler : 27307890,1586000,10/03/2025
Nabeul,Hammamet,Zone Hoteliere,"Terrain 312 m  hammamet sudparticulier vend terrain de 312 m² (14/22)à hammamet sud à 1,7 km de yasmine hammamet et 5 min de la plage avec titre foncier,eau et électricité disponibles.tous les papiers en règle,agence s abstenir ...",78000,10/10/2024
Sousse,Akouda,Chatt Meriem,Lot dans une cité privé devant taksim el fourati#la sté akariet sarraj #agence #immobilière vous propose #terrain #titré #vue de mer (#2257m²) dans une #cité privé #devant #taksim el fourati #rmila  #prix: #250dt/m² (#un peux négociable)  ...,564250,19/10/2024
Nabeul,Hammam El Ghezaz,Ezzahra,"Terrain a ezzahra  de 770 mètre carréa partager un terrain de 770 m² titre foncier collectif , 1ere position a la plage dezzahra kelibia emplacement dinvestissement avec façade sur mer panoramique  prix :1155 md.   pour plus  ...",1155000,10/03/2025
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Terrain de   mètre carré a hammam el ghezazprofitez de lopportunité unique dacquérir un terrain de titre foncier collectif privilégie en front de mer avec accès direct a une plage magnifique. emplacement : hammam el ghezaz ezzahra  <br/ ...,1411000,10/03/2025
Nabeul,Kelibia,Dar Allouche,Terrain a partager  au bord de la mera partager un terrain de 1000 m² titre foncier collectif   avec vue sur mer a hammam el ghezaz. profitez de cette opportunité exceptionnelle pour investir dans un emplacement privilégié . prix :9 ...,90000,10/03/2025
Sousse,Kalaa Essghira,Ennagr,Terrain clôturé 1000m à kalâa seghira ennager#la sté akariet sarraj #agence #immobilière (#agrée) propose #a vendre #terrain #clôturé (#1000m²) #construite un #dépôt (#couvert #160m²) #planté (#7)#arbres oliviers et (#2)#arbres grenadiers #sur l ...,230000,11/10/2024
