Gouvernorat,Délégation,Prix,Taille,Proximité,Infrastructure,Type_Agriculture,Additional_Features,Taille_m2,Prix_m2
Nabeul,Hammam El Ghezaz,2500000,5000 m²,près du centre,"sondage, eau, électricité",Agrumes,titre foncier,5000.0,500.0
Nabeul,Kelibia,1110000,1850 m²,près de la mer,"sondage, eau, électricité, gaz, téléphone",Agrumes,titre foncier,1850.0,600.0
Zaghouan,El Fahs,860000,7500 m²,,,,titre foncier,7500.0,114.66666666666669
Sousse,Akouda,269280,3366 m²,,eau,,,3366.0,80.0
Zaghouan,Bir Mcherga,650000,5 ha,,"eau, électricité",,maison,50000.0,13.0
Nabeul,Hammam El Ghezaz,1750000,3500 m²,front de mer,"sondage, eau, électricité",Agrumes,titre foncier,3500.0,500.0
Zaghouan,Bir Mcherga,1250000,7 ha,,,,,70000.0,17.857142857142858
Nabeul,Hammamet,100000,8000 m²,,,,,8000.0,12.5
Sousse,Akouda,850000,9000 m²,,"sondage, eau",grenadiers,,9000.0,94.44444444444444
Nabeul,Kelibia,1980000,3300 m²,front de mer,"puit, eau, électricité, gaz, téléphone",Vignes,titre foncier,3300.0,600.0
Nabeul,Hammam El Ghezaz,1500000,3000 m²,près du centre,eau,Agrumes,titre foncier,3000.0,500.0
Nabeul,Kelibia,1260000,2100 m²,front de mer,"sondage, eau, électricité, gaz, téléphone",Agrumes,titre foncier,2100.0,600.0
Nabeul,Hammam El Ghezaz,1000000,50000 m²,vue sur mer,,,titre foncier,50000.0,20.0
Nabeul,Hammam El Ghezaz,315000,10000 m²,,eau,,titre foncier,10000.0,31.5
Sousse,Akouda,404250,3850 m²,,,oliviers,titre foncier,3850.0,105.0
Nabeul,Hammam El Ghezaz,1000000,2000 m²,près du centre,"sondage, eau, électricité",Agrumes,titre foncier,2000.0,500.0
Sousse,Akouda,564250,2257 m²,,"sondage, eau",,"clôture, titre foncier",2257.0,250.0
Nabeul,Kelibia,960000,1600 m²,près de la mer,"sondage, eau, électricité, gaz, téléphone",Agrumes,titre foncier,1600.0,600.0
Nabeul,Hammam El Ghezaz,200000,5000 m²,,eau,,titre foncier,5000.0,40.0
Nabeul,Hammam El Ghezaz,1250000,2500 m²,près du centre,"sondage, eau, électricité",Agrumes,titre foncier,2500.0,500.0
Nabeul,Kelibia,1410000,2350 m²,près de la mer,"puit, eau, électricité, gaz, téléphone",Vignes,titre foncier,2350.0,600.0
Nabeul,Hammamet,480000,4000 m²,,eau,,titre foncier,4000.0,120.0
Zaghouan,Zaghouan,1500000,10 ha,,sondage,,,100000.0,15.0
Sfax,Agareb,150000,6000 m²,,eau,,,6000.0,25.0
Nabeul,Soliman,500000,20650 m²,,eau,,,20650.0,24.213075060532688
Nabeul,Hammamet,891100,2546 m²,,électricité,Agrumes,titre foncier,2546.0,350.0
Nabeul,Béni Khalled,850000,20800 m²,,eau,,,20800.0,40.86538461538461
Manouba,Oued Ellil,625000,2500 m²,,eau,,"clôture, titre foncier",2500.0,250.0
Zaghouan,Bir Mcherga,800000,5 ha,,,oliviers,,50000.0,16.0
Sfax,Sfax Sud,100000,2178 m²,,eau,,,2178.0,45.91368227731864
Bizerte,Mateur,1250000,12 ha,,,arbres,,120000.0,10.416666666666666
Sousse,Kalâa Kebira,160000,4276 m²,,électricité,oliviers,"villa, titre foncier",4276.0,37.418147801683816
Nabeul,Menzel Bouzelfa,1300000,6 ha,,eau,,"maison, titre foncier",60000.0,21.666666666666668
Ariana,Sidi Thabet,5500000,10 ha,,eau,,,100000.0,55.0
Sousse,Akouda,330000,3300 m²,,eau,oliviers,,3300.0,100.0
Sousse,Akouda,900000,4500 m²,,électricité,,titre foncier,4500.0,200.0
Sousse,Sidi Bou Ali,528150,7545 m²,,eau,"oliviers, arbres",,7545.0,70.0
Nabeul,Korba,1250000,8 ha,,,,"piscine, villa",80000.0,15.625
Zaghouan,El Fahs,850000,7500 m²,,,,"maison, villa",7500.0,113.33333333333331
Zaghouan,Bir Mcherga,90000,7500 m²,,,"oliviers, arbres",maison,7500.0,12.0
Zaghouan,Bir Mcherga,185000,1h,,,"oliviers, arbres",,10000.0,18.5
Sousse,Bouficha,400000,6000 m²,,sondage,"oliviers, grenadiers, figuiers","duplex, titre foncier",6000.0,66.66666666666667
Sousse,Sidi Bou Ali,540000,2000 m²,,"sondage, eau",,"clôture, titre foncier",2000.0,270.0
Zaghouan,El Fahs,560000,5 ha,,,oliviers,,50000.0,11.2
Sousse,Akouda,333370,1961 m²,,"sondage, eau",,titre foncier,1961.0,170.0
Sousse,Kalâa Kebira,365000,8860 m²,,eau,,,8860.0,41.19638826185101
Sousse,Kalâa Kebira,450000,2 ha,,eau,"oliviers, grenadiers, arbres",,20000.0,22.5
Sousse,Kalâa Kebira,200000,1800 m²,,,"oliviers, arbres",titre foncier,1800.0,111.11111111111111
Ben arous,Mornag,850000,4 ha,,sondage,,,40000.0,21.25
Nabeul,Al Haouaria,200000,3400 m²,,eau,,maison,3400.0,58.8235294117647
Sousse,Akouda,500000,1600 m²,,sondage,Oliviers,"clôture, titre foncier",1600.0,312.5
Nabeul,Menzel Temime,3750000,15 ha,,eau,"plantation, arbres",,150000.0,25.0
Nabeul,Menzel Bouzelfa,700000,3 ha,,eau,,,30000.0,23.33333333333333
Nabeul,Beni Khiar,160000,6000 m²,,eau,,titre foncier,6000.0,26.666666666666668
Sousse,Kalaa Essghira,550000,7890 m²,,eau,,,7890.0,69.7084917617237
Nabeul,Kelibia,1500000,3000 m²,près de la mer,"puit, eau, électricité",Vignes,titre foncier,3000.0,500.0
Sousse,Akouda,1000000,4000 m²,,"sondage, eau",,"clôture, titre foncier",4000.0,250.0
Sousse,Akouda,303660,1650 m²,,"puit, eau",,titre foncier,1650.0,184.03636363636363
Sousse,Akouda,500000,2000 m²,,sondage,,"clôture, titre foncier",2000.0,250.0
Ariana,Sidi Thabet,880000,4 ha,,eau,,,40000.0,22.0
Sousse,Akouda,1195000,23900 m²,,eau,"oliviers, arbres",,23900.0,50.0
Nabeul,Béni Khalled,240000,17000 m²,,,,,17000.0,14.117647058823527
Sousse,Sidi Bou Ali,280000,4680 m²,,eau,oliviers,titre foncier,4680.0,59.82905982905983
Nabeul,Al Haouaria,320000,9400 m²,,eau,,,9400.0,34.04255319148936
Sousse,Akouda,623220,3666 m²,,"puit, eau","oliviers, arbres",titre foncier,3666.0,170.0
Sousse,Akouda,579360,3621 m²,,"puit, eau",,titre foncier,3621.0,160.0
Sousse,Akouda,257000,3681 m²,,électricité,,,3681.0,69.81798424341211
Sousse,Kalâa Kebira,135000,6000 m²,,eau,"oliviers, arbres",,6000.0,22.5
Nabeul,Bou Argoub,261200,3265 m²,,"eau, électricité",,,3265.0,80.0
Sousse,Sidi Bou Ali,180000,7630 m²,,eau,oliviers,titre foncier,7630.0,23.591087811271297
Zaghouan,El Fahs,400000,17000 m²,,eau,,maison,17000.0,23.529411764705884
Sousse,Sidi Bou Ali,420000,10000 m²,,sondage,"arbres fruitiers, oliviers, grenadiers",,10000.0,42.0
Nabeul,Kelibia,200000,5000 m²,,eau,,titre foncier,5000.0,40.0
Sousse,Sidi Bou Ali,390000,14000 m²,,eau,"arbres fruitiers, grenadiers, figuiers",,14000.0,27.857142857142858
Sousse,Kalâa Kebira,410000,2 ha,,eau,"oliviers, grenadiers, arbres",,20000.0,20.5
Zaghouan,Bir Mcherga,1250000,5 ha,,eau,,,50000.0,25.0
Zaghouan,Zaghouan,380000,7000 m²,,eau,,,7000.0,54.285714285714285
Sousse,Kalaa Essghira,706440,2523 m²,,"puit, eau",,"clôture, titre foncier",2523.0,280.0
Zaghouan,Zaghouan,800000,4h,,,,,40000.0,20.0
Zaghouan,Bir Mcherga,640000,5 ha,,,oliviers,,50000.0,12.8
Zaghouan,Bir Mcherga,260000,2 ha,,,oliviers,,20000.0,13.0
Sousse,Sidi Bou Ali,270000,1 ha,,eau,"oliviers, arbres",,10000.0,27.0
Zaghouan,Bir Mcherga,360000,2 ha,,,,,20000.0,18.0
Sousse,Akouda,1262500,5050 m²,,"puit, eau",,"clôture, titre foncier",5050.0,250.0
Sousse,Kalâa Kebira,387000,5529 m²,,eau,,titre foncier,5529.0,69.99457406402604
Ariana,Sidi Thabet,500000,3000 m²,,"puit, eau",,villa,3000.0,166.66666666666666
Sousse,Kalâa Kebira,450000,7520 m²,,eau,"oliviers, arbres",,7520.0,59.840425531914896
Sousse,Sousse Riadh,330570,7346 m²,,eau,,,7346.0,45.0
Sousse,Akouda,252000,5600 m²,,eau,oliviers,,5600.0,45.0
Sousse,Kalâa Kebira,400000,11000 m²,,eau,"oliviers, arbres",,11000.0,36.36363636363637
Sousse,Akouda,158000,3162 m²,,eau,,,3162.0,49.968374446552815
Sousse,Kalâa Kebira,300000,11000 m²,,électricité,oliviers,"maison, villa, titre foncier",11000.0,27.27272727272728
Zaghouan,Bir Mcherga,1850000,12500 m²,,,,titre foncier,12500.0,148.0
Zaghouan,Bir Mcherga,750000,8000 m²,,eau,,villa,8000.0,93.75
Bizerte,Menzel Bourguiba,300000,3000 m²,,eau,,,3000.0,100.0
Sousse,Akouda,1170000,9000 m²,,,,titre foncier,9000.0,130.0
Sousse,Akouda,161000,2300 m²,,eau,"oliviers, arbres",,2300.0,70.0
Sousse,Sidi Bou Ali,450000,20000 m²,,sondage,,"maison, titre foncier",20000.0,22.5
Sousse,Kalâa Kebira,350000,4706 m²,,eau,"oliviers, figuiers",,4706.0,74.37314067148321
Ariana,Sidi Thabet,1700000,2 ha,,eau,,villa,20000.0,85.0
Sousse,Sidi Bou Ali,410000,1 ha,,eau,"oliviers, arbres",maison,10000.0,41.0
Sousse,Sidi Bou Ali,300000,14252 m²,,eau,oliviers,villa,14252.0,21.049677238282342
Sousse,Kalaa Essghira,220000,3600 m²,,eau,,,3600.0,61.11111111111112
Nabeul,Soliman,750000,7 ha,,sondage,verger,,70000.0,10.714285714285714
Nabeul,Hammamet,125000,10000m,,"eau, électricité",,,10000.0,12.5
Sousse,Kalaa Essghira,510000,3403 m²,,,,titre foncier,3403.0,149.8677637378783
Sousse,Akouda,585000,3900 m²,,,,titre foncier,3900.0,150.0
Nabeul,Kelibia,400000,2 ha,,,,,20000.0,20.0
Nabeul,Hammamet,370000,8073 m²,vue sur mer,"eau, électricité",,,8073.0,45.83178496221974
Sousse,Akouda,690000,2300 m²,,"puit, eau",,"clôture, titre foncier",2300.0,300.0
Medenine,Houmt Souk,400000,4100 m²,,eau,olivier,,4100.0,97.5609756097561
Nabeul,Hammam El Ghezaz,520000,4000 m²,,,,titre foncier,4000.0,130.0
Nabeul,Kelibia,750000,30000 m²,bord de mer,eau,,titre foncier,30000.0,25.0
Sousse,Akouda,164700,2353 m²,,eau,,,2353.0,69.99575010624734
Nabeul,Hammam El Ghezaz,468000,5850 m²,,eau,,,5850.0,80.0
Zaghouan,Hammam Zriba,90000,5500m,,"eau, électricité",oliviers,,5500.0,16.363636363636363
Nabeul,Beni Khiar,650000,4000 m²,,"puit, eau",,titre foncier,4000.0,162.5
Nabeul,Nabeul,175000,5000 m²,,eau,,,5000.0,35.0
Sousse,Akouda,330600,1653 m²,,"sondage, eau",,titre foncier,1653.0,200.0
Sousse,Kalâa Kebira,650000,30350 m²,,eau,"arbres fruitiers, oliviers",,30350.0,21.4168039538715
Sousse,Kalâa Kebira,320000,16000 m²,,sondage,arbres fruitiers,,16000.0,20.0
Sousse,Sidi Bou Ali,3500000,6 ha,,eau,,,60000.0,58.333333333333336
Sousse,Kalâa Kebira,329550,2535 m²,,,oliviers,titre foncier,2535.0,130.0
Sousse,Akouda,122000,1931 m²,,électricité,,,1931.0,63.17969963749353
Nabeul,Hammam El Ghezaz,1690000,2500 m²,vue sur mer,"puit, eau, électricité, gaz, téléphone",Agrumes,titre foncier,2500.0,676.0
Nabeul,Hammamet,305250,4070 m²,,eau,,,4070.0,75.0
Sousse,Akouda,724920,2589 m²,,"sondage, eau",,"clôture, titre foncier",2589.0,280.0
Nabeul,Hammamet,520000,19200 m²,,eau,oliviers,,19200.0,27.08333333333333
Sousse,Enfidha,520000,5 ha,,,,,50000.0,10.4
Sousse,Akouda,137000,1527 m²,,eau,,,1527.0,89.7184020956123
Sousse,Kalaa Essghira,185000,1852 m²,,eau,,,1852.0,99.89200863930886
Nabeul,Soliman,495000,2 ha,,"sondage, électricité","oliviers, culture",titre foncier,20000.0,24.75
Nabeul,Hammam El Ghezaz,750000,3 ha,,eau,,titre foncier,30000.0,25.0
Nabeul,Hammamet,90000,2800m,,eau,oliviers,titre foncier,2800.0,32.142857142857146
Sousse,Akouda,880000,4000 m²,,"puit, eau",,"clôture, titre foncier",4000.0,220.0
Sousse,Akouda,1179000,3930 m²,,"puit, eau",,titre foncier,3930.0,300.0
Sousse,Kalâa Kebira,215000,9000 m²,,eau,"oliviers, arbres",,9000.0,23.88888888888889
Nabeul,Hammamet,480000,3000m,,"puit, eau",oliviers,titre foncier,3000.0,160.0
Bizerte,Utique,960000,8 ha,,,,,80000.0,12.0
Sousse,Kalâa Kebira,1500000,8 ha,,,"arbres fruitiers, oliviers, arbres",,80000.0,18.75
Sousse,Kalâa Kebira,90000,2879 m²,,eau,,,2879.0,31.260854463355333
Ben arous,Mornag,900000,4 ha,,eau,,,40000.0,22.5
Nabeul,Hammamet,1000000,5 ha,,,oliviers,,50000.0,20.0
Nabeul,Kelibia,1089000,3 ha,,"sondage, eau",culture,maison,30000.0,36.3
Nabeul,Beni Khiar,1200000,6 ha,,eau,,,60000.0,20.0
Nabeul,Beni Khiar,330000,2100 m²,,"puit, eau",arbres,titre foncier,2100.0,157.14285714285714
Medenine,Djerba Midoun,290500,2905 m²,,eau,,,2905.0,100.0
Medenine,Houmt Souk,320000,4237 m²,,eau,,,4237.0,75.52513570922822
Nabeul,Hammamet,1050000,3000 m²,,"sondage, électricité",Maraîchage,"clôture, titre foncier",3000.0,350.0
Sousse,Akouda,940000,4700 m²,,"sondage, eau",,titre foncier,4700.0,200.0
Sousse,Akouda,600000,2000 m²,,"sondage, eau",,"clôture, titre foncier",2000.0,300.0
Nabeul,Korba,800000,12600 m²,,eau,,,12600.0,63.49206349206349
Tunis,Sidi Hassine,7500000,75000 m²,,eau,,,75000.0,100.0
Nabeul,Kelibia,220000,17000m,,puit,,puit,17000.0,12.941176470588236
Sousse,Kalâa Kebira,160000,4200 m²,,eau,oliviers,,4200.0,38.095238095238095
Nabeul,Korba,180000,2000 m²,,eau,,titre foncier,2000.0,90.0
Medenine,Djerba Midoun,130000,3581 m²,,eau,oliviers,,3581.0,36.302708740575255
Medenine,Djerba Midoun,134000,3822 m²,,eau,oliviers,,3822.0,35.06017791732077
Medenine,Djerba Midoun,325000,2658 m²,,,,maison,2658.0,122.27238525206924
Nabeul,Hammam El Ghezaz,180000,10000 m²,,,,titre foncier,10000.0,18.0
Nabeul,Bou Argoub,600000,4 ha,,,,,40000.0,15.0
Nabeul,Béni Khalled,1750000,14 ha,,,oliviers,,140000.0,12.5
Manouba,Borj El Amri,310000,3 ha,,"sondage, électricité",oliviers,titre foncier,30000.0,10.333333333333334
Nabeul,Grombalia,2750000,10 ha,,eau,,,100000.0,27.5
Nabeul,Bou Argoub,1150000,7 ha,,,,,70000.0,16.428571428571427
Nabeul,Grombalia,2000000,7 ha,,eau,,,70000.0,28.571428571428573
Nabeul,Beni Khiar,400000,4000 m²,,eau,,,4000.0,100.0
Nabeul,Beni Khiar,200000,4500m,,eau,,,4500.0,44.44444444444444
Sousse,Sidi Bou Ali,160000,6500 m²,,eau,oliviers,,6500.0,24.615384615384617
Nabeul,Soliman,950000,5 ha,,,,titre foncier,50000.0,19.0
Nabeul,Soliman,1000000,2000 m²,près du centre,"sondage, gaz",Agrumes,"maison, titre foncier",2000.0,500.0
Ariana,Raoued,500000,4 ha,,,,,40000.0,12.5
Sousse,Akouda,90000,2400 m²,,eau,oliviers,,2400.0,37.5
Nabeul,Beni Khiar,250000,7000 m²,,eau,,,7000.0,35.714285714285715
Beja,Mejez El Bab,75000,5830 m²,,,"oliviers, figuiers, arbres",,5830.0,12.864493996569468
Nabeul,Korba,1200000,10 ha,,sondage,oliviers,maison,100000.0,12.0
Nabeul,Béni Khalled,2500000,10 ha,,eau,,,100000.0,25.0
Sousse,Akouda,375000,2500 m²,,,,titre foncier,2500.0,150.0
Sousse,Bouficha,300000,3000 m²,,eau,,,3000.0,100.0
Sousse,Akouda,260000,4300 m²,,sondage,"oliviers, arbres",maison,4300.0,60.46511627906977
Nabeul,Korba,1250000,1 ha,,,"oliviers, arbres","piscine, villa",10000.0,125.0
Nabeul,Menzel Bouzelfa,450000,2 ha,,électricité,arbres fruitiers,,20000.0,22.5
Nabeul,Korba,700000,7 ha,,,oliviers,garage,70000.0,10.0
Nabeul,Menzel Bouzelfa,600000,4 ha,,,"arbres fruitiers, orangers",,40000.0,15.0
Nabeul,Beni Khiar,90000,3000 m²,,eau,oliviers,,3000.0,30.0
Ben arous,Mornag,1650000,8 ha,,eau,,clôture,80000.0,20.625
Zaghouan,Zaghouan,650000,5 ha,,,,villa,50000.0,13.0
Nabeul,Soliman,1200000,29000 m²,,gaz,,"bâtiment, titre foncier",29000.0,41.37931034482759
Nabeul,Kelibia,800000,3 ha,près de la mer,eau,,,30000.0,26.666666666666668
Sousse,Enfidha,1500000,14750 m²,,,arbre,"maison, garage",14750.0,101.69491525423727
Manouba,Mornaguia,500000,18000 m²,,eau,,,18000.0,27.77777777777778
Sousse,Akouda,608000,6080 m²,,eau,,,6080.0,100.0
Nabeul,Al Haouaria,970000,1970 m²,près du centre,"puit, eau, électricité",Oliviers,titre foncier,1970.0,492.38578680203045
Nabeul,Kelibia,180000,10000 m²,,,,,10000.0,18.0
Manouba,Mornaguia,550000,5 ha,,,,dépôt,50000.0,11.0
Nabeul,Bou Argoub,420000,13845 m²,,eau,oliviers,,13845.0,30.33586132177681
Nabeul,Bou Argoub,270000,1 ha,,eau,,dépôt,10000.0,27.0
Sousse,Hammam Sousse,312000,2600 m²,,,,titre foncier,2600.0,120.0
Sousse,Kalâa Kebira,784000,2800 m²,,"puit, eau",,"clôture, titre foncier",2800.0,280.0
Manouba,Mannouba,140000,4000 m,,eau,,titre foncier,4000.0,35.0
Ariana,Sidi Thabet,2000000,60970 m²,,sondage,,,60970.0,32.80301787764474
Siliana,Bou Arada,550000,5 ha,,,"arbres, figuier",,50000.0,11.0
Nabeul,Soliman,750000,35000 m²,,sondage,,maison,35000.0,21.428571428571427
Zaghouan,Zaghouan,2750000,5 ha,,eau,"oliviers, arbres",,50000.0,55.0
Nabeul,Soliman,320000,2200 m²,,,"oliviers, orangers",villa,2200.0,145.45454545454547
Kebili,Kebili Nord,360000,2h,,eau,palmier,,20000.0,18.0
Manouba,Oued Ellil,120000,01 ha,,,jardin,,10000.0,12.0
Nabeul,Beni Khiar,110000,3000 m²,,eau,oliviers,,3000.0,36.66666666666666
Ben arous,Mornag,2600000,20 ha,,,,"maison, clôture",200000.0,13.0
Kairouan,Kairouan Sud,600000,6 ha,,,,,60000.0,10.0
Ben arous,Mornag,230000,2300 m²,,eau,,,2300.0,100.0
Manouba,Jedaida,690360,05 h,,,,,50000.0,13.8072
Nabeul,Al Haouaria,145000,6000 m²,,eau,arbres,,6000.0,24.166666666666668
Nabeul,Al Haouaria,250000,4000 m²,,eau,arbres,maison,4000.0,62.5
Nabeul,Béni Khalled,380000,3 ha,,,,,30000.0,12.666666666666666
Nabeul,Kelibia,60000,3000 m²,,,,,3000.0,20.0
Nabeul,Bou Argoub,430000,2 ha,,sondage,,,20000.0,21.5
Nabeul,Bou Argoub,300000,2 ha,,,vignes,,20000.0,15.0
Manouba,Tebourba,400000,4 ha,,,,,40000.0,10.0
Nabeul,Takelsa,250000,1 ha,,eau,,maison,10000.0,25.0
Nabeul,Korba,1200000,100800 m²,,sondage,olivier,maison,100800.0,11.904761904761903
